movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
The Notebook,New Line Cinema,29000000.0,13464745.0,2004-06-25,PG-13,123.0,"['Drama', 'Romance']","[['Domestic', 81001787], ['International', 36813122], ['Worldwide', 117814909]]","['Nick Cassavetes', 'Jeremy Leven', 'Jan Sardi', 'Nicholas Sparks', 'Lynn Harris', 'Mark Johnson', 'Aaron Zigman', 'Robert Fraisse', 'Alan Heim', 'Sarah Knowles']","['Gena Rowlands', 'James Garner', 'Rachel McAdams', 'Ryan Gosling']"
Jimmy Neutron: Boy Genius,Paramount Pictures,30000000.0,13832786.0,2001-12-21,,82.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']","[['Domestic', 80936232], ['International', 22056304], ['Worldwide', 102992536]]","['John A. Davis', 'John A. Davis', 'Steve Oedekerk', 'John A. Davis', 'Steve Oedekerk', 'David N. Weiss', 'J. David Stem', 'John A. Davis', 'Danelle Hand', 'John A. Davis', 'Albie Hecht', 'Steve Oedekerk', 'Brian Causey', 'John Debney', 'Steve Kolbe', 'Chris Sherrod', 'Gregory Perler', 'Jon Price', 'Fred Cline']","['Debi Derryberry', 'Rob Paulsen', 'Megan Cavanagh', 'Mark DeCarlo']"
Another 48 Hrs.,Paramount Pictures,,19475559.0,1990-06-08,,93.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']","[['Domestic', 80818974], ['International', 72700000], ['Worldwide', 153518974]]","['Walter Hill', 'Roger Spottiswoode', 'Walter Hill', 'Larry Gross', 'Steven E. de Souza', 'Eddie Murphy', 'John Fasano', 'Jeb Stuart', 'Larry Gross', 'Lawrence Gordon', 'Robert D. Wachs', 'James Horner', 'Matthew F. Leonetti', 'Donn Aron', 'Carmel Davies', 'Freeman A. Davies', 'Tim Ryder', 'Joseph C. Nemec III']","['Eddie Murphy', 'Nick Nolte', 'Brion James', 'Kevin Tighe']"
Moonstruck,Metro-Goldwyn-Mayer (MGM),,127599.0,1987-12-18,,102.0,"['Comedy', 'Drama', 'Romance']","[['Domestic', 80640528], ['International', 80640528]]","['Norman Jewison', 'John Patrick Shanley', 'Norman Jewison', 'Patrick J. Palmer', 'Dick Hyman', 'David Watkin', 'Lou Lombardo', 'Philip Rosenberg']","['Cher', 'Nicolas Cage', 'Olympia Dukakis', 'Danny Aiello']"
Eat Pray Love,Sony Pictures Entertainment (SPE),60000000.0,23104523.0,2010-08-13,PG-13,133.0,"['Biography', 'Drama', 'Romance']","[['Domestic', 80574010], ['International', 124020006], ['Worldwide', 204594016]]","['Ryan Murphy', 'Ryan Murphy', 'Jennifer Salt', 'Elizabeth Gilbert', 'Dede Gardner', 'Dario Marianelli', 'Robert Richardson', 'Bradley Buecker', 'Bill Groom']","['Julia Roberts', 'Javier Bardem', 'Richard Jenkins', 'Viola Davis']"
The Texas Chainsaw Massacre,New Line Cinema,9500000.0,29100000.0,2003-10-17,R,98.0,['Horror'],"[['Domestic', 80571655], ['International', 26792250], ['Worldwide', 107363905]]","['Marcus Nispel', 'Kim Henkel', 'Tobe Hooper', 'Scott Kosar', 'Michael Bay', 'Mike Fleiss', 'Steve Jablonsky', 'Daniel Pearl', 'Glen Scantlebury', 'Greg Blair']","['Jessica Biel', 'Jonathan Tucker', 'Andrew Bryniarski', 'Erica Leerhsen']"
Zookeeper,Sony Pictures Entertainment (SPE),80000000.0,20065617.0,2011-07-06,PG,102.0,"['Comedy', 'Family', 'Fantasy', 'Romance']","[['Domestic', 80360843], ['International', 89491916], ['Worldwide', 169852759]]","['Frank Coraci', 'Nick Bakay', 'Rock Reuben', 'Kevin James', 'Jay Scherick', 'David Ronn', 'Jay Scherick', 'David Ronn', 'Walt Becker', 'Todd Garner', 'Jack Giarraputo', 'Kevin James', 'Adam Sandler', 'Rupert Gregson-Williams', 'Michael Barrett', 'Scott Hill', 'Kirk M. Petruccelli']","['Kevin James', 'Rosario Dawson', 'Leslie Bibb', 'Ken Jeong']"
Alien vs. Predator,Twentieth Century Fox,60000000.0,38291056.0,2004-08-12,PG-13,101.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']","[['Domestic', 80282231], ['International', 97144859], ['Worldwide', 177427090]]","['Paul W.S. Anderson', ""Dan O'Bannon"", 'Ronald Shusett', 'Jim Thomas', 'John Thomas', 'Paul W.S. Anderson', ""Dan O'Bannon"", 'Ronald Shusett', 'Paul W.S. Anderson', 'Gordon Carroll', 'John Davis', 'David Giler', 'Walter Hill', 'Harald Kloser', 'David Johnson', 'Alexander Berner', 'Richard Bridgland']","['Sanaa Lathan', 'Lance Henriksen', 'Raoul Bova', 'Ewen Bremner']"
What Happens in Vegas,Twentieth Century Fox,35000000.0,20172474.0,2008-05-07,PG-13,99.0,"['Comedy', 'Romance']","[['Domestic', 80277646], ['International', 139097916], ['Worldwide', 219375562]]","['Tom Vaughan', 'Dana Fox', 'Michael Aguilar', 'Shawn Levy', 'Jimmy Miller', 'Christophe Beck', 'Matthew F. Leonetti', 'Matt Friedman', 'Stuart Wurtzel']","['Cameron Diaz', 'Ashton Kutcher', 'Rob Corddry', 'Lake Bell']"
The Dukes of Hazzard,Warner Bros.,50000000.0,30675314.0,2005-08-05,PG-13,104.0,['Comedy'],"[['Domestic', 80270227], ['International', 30799288], ['Worldwide', 111069515]]","['Jay Chandrasekhar', 'Gy Waldron', ""John O'Brien"", ""John O'Brien"", 'Jonathan L. Davis', 'Bill Gerber', 'Nathan Barr', 'Lawrence Sher', 'Jay Chandrasekhar', 'Lee Haxall', 'Myron Kerstein', 'Jon Gary Steele']","['Seann William Scott', 'Johnny Knoxville', 'Jessica Simpson', 'Alice Greczyn']"
